GEOID,white,black,hispanic,asian,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports,Lean Democrat,Lean Republican,Other,Lean Democrat_inflow,Lean Republican_inflow,Other_inflow
482013207002,0.0,0.0086730268863833,0.777970511708586,0.21335646140503,0.16558273103122947,0.13768938773189665,0.6511511660566194,0.04557671518025443,0.5721518987341773,0.3316455696202531,0.0962025316455696,0.0,0.5544463872191843,0.23854552658411923,0.17487938754859159,0.03212869864810516,2.012267509121441,4.426988520067171,1.2073605054728649,1.2073605054728649,0.4024535018242883,4.426988520067171,0.4024535018242883,0.4024535018242883,0.8049070036485766,0.0,0.0,0.0,0.6438923395445134,0.10144927536231885,0.2546583850931677,0.7037001296164228,0.15755125256981897,0.1387486178137581
482013208001,0.0475435816164818,0.0110935023771791,0.941362916006339,0.0,0.0,0.0,0.0,0.0,0.6482084690553747,0.1596091205211726,0.1921824104234528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.03441295546558704,0.12348178137651822,0.0,0.0,0.0
482013208002,0.0396103896103896,0.0084415584415584,0.949350649350649,0.0,0.0,0.0,0.0,0.0,0.8358778625954199,0.0744274809160305,0.0896946564885496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9147727272727273,0.03787878787878788,0.04734848484848485,0.0,0.0,0.0
482013208003,0.0768577494692144,0.0,0.911677282377919,0.0,0.0,0.0,0.0,0.0,0.6510574018126888,0.2356495468277945,0.1132930513595166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.756975697569757,0.12151215121512152,0.12151215121512152,0.0,0.0,0.0
482013209001,0.106122448979592,0.196734693877551,0.696326530612245,0.0,0.14483970017615933,0.13818565609527564,0.6761199095259699,0.04085473420259521,0.6794871794871795,0.1446886446886447,0.1758241758241758,0.0,0.5673061510104892,0.23364146556095217,0.17429899431954096,0.024753389109017605,17.138180738988122,8.569090369494061,0.0,2.8563634564980203,0.0,11.42545382599208,0.0,5.7127269129960405,0.0,0.0,0.0,0.0,0.7893660531697342,0.02044989775051125,0.1901840490797546,0.7089782256556794,0.13999734415496545,0.1510244301893552
482013209002,0.0222222222222222,0.0116161616161616,0.966161616161616,0.0,0.15727299205653072,0.13836623861663347,0.6634344477437574,0.04092632158307848,0.6938405797101449,0.2155797101449275,0.0905797101449275,0.0,0.571439992055692,0.23318940233941193,0.16657279307712708,0.028797812527768946,2.9104912302755377,1.4552456151377688,1.4552456151377688,0.0,1.4552456151377688,5.820982460551075,1.4552456151377688,1.4552456151377688,0.0,0.0,0.0,0.0,0.7930591259640103,0.08868894601542417,0.11825192802056556,0.7102498104546617,0.1476494775511225,0.14210071199421578
482013209003,0.102941176470588,0.0,0.891666666666667,0.0,0.16068887933801948,0.0959746496328404,0.7035622344615399,0.03977423656760025,0.5304659498207885,0.0985663082437276,0.3387096774193548,0.032258064516129,0.5314029874520271,0.24173011237185485,0.1986722063477822,0.028194693828335986,5.617762260261792,4.213321695196344,0.0,0.0,5.617762260261792,2.808881130130896,0.0,1.404440565065448,1.404440565065448,1.404440565065448,0.0,0.0,0.760998810939358,0.11890606420927467,0.12009512485136742,0.6932392753743544,0.16298734527579029,0.14377337934985537
482013209004,0.151026392961877,0.0263929618768328,0.810361681329423,0.0122189638318671,0.13402553154036903,0.09818784471845257,0.7403072569119873,0.027479366829191183,0.4300341296928328,0.3412969283276451,0.1860068259385665,0.0426621160409556,0.6002578098339771,0.2211627268793349,0.15559339077521298,0.02298607251147494,1.7830878968154966,3.566175793630993,0.0,0.0,0.0,1.7830878968154966,0.0,0.0,0.0,0.0,0.0,0.0,0.7669270833333334,0.10416666666666667,0.12890625,0.7278097783508787,0.12853655117605697,0.14365367047306432
482013210001,0.0295593976575572,0.0,0.970440602342443,0.0,0.1278727436713062,0.09204040698379082,0.7488658969759369,0.031220952368966003,0.5597826086956522,0.0788043478260869,0.3614130434782608,0.0,0.5637338893722056,0.23838659005565468,0.175812745480719,0.02206677509142063,0.0,0.0,0.0,2.0458307190061307,4.091661438012261,4.091661438012261,0.0,2.0458307190061307,0.0,0.0,0.0,0.0,0.7492012779552716,0.10862619808306709,0.14217252396166133,0.7206846195386309,0.13602829732797378,0.14328708313339528
482013210002,0.131298793470546,0.266146202980837,0.582682753726047,0.0198722498225692,0.17620604220902317,0.11891016207245245,0.662973087675192,0.041910708043332356,0.5633423180592992,0.1347708894878706,0.3018867924528302,0.0,0.553763331825154,0.2267765952062129,0.18875782504453392,0.030702247924098952,0.0,0.8053402528904796,0.0,0.0,3.2213610115619185,1.6106805057809592,0.0,0.8053402528904796,0.8053402528904796,0.8053402528904796,1.6106805057809592,0.0,0.7338403041825095,0.11977186311787072,0.14638783269961977,0.6868997492614212,0.16949493400154128,0.14360531673703752
482013210003,0.0152777777777778,0.0773148148148148,0.907407407407407,0.0,0.15556969626828887,0.11844212617176848,0.6899085252427744,0.03607965231716821,0.8082010582010583,0.1097883597883597,0.082010582010582,0.0,0.5578149484998552,0.23115762456763364,0.18554068442792385,0.025486742504587226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685708140103298,0.0,0.0,0.0,0.6823821339950372,0.04466501240694789,0.2729528535980149,0.671704615799538,0.15958104069074017,0.16871434350972184
482013210004,0.144927536231884,0.0,0.844927536231884,0.0101449275362319,0.18946934022066558,0.14656910715860827,0.6125496040045754,0.05141194861615073,0.6061538461538462,0.3169230769230769,0.04,0.0369230769230769,0.533868552009825,0.24031144010840577,0.1903331611185348,0.0354868467632343,0.929753308291417,5.578519849748502,0.0,0.0,4.648766541457085,7.438026466331336,0.0,0.929753308291417,0.0,0.0,0.0,0.0,0.736346516007533,0.1167608286252354,0.14689265536723164,0.6668114600991908,0.18080551944852527,0.15238302045228388
