GEOID,white,black,asian,hispanic,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports,LATITUDE,LONGITUDE,total_population
250250002011,0.6784565916398714,0.0152733118971061,0.1527331189710611,0.0618971061093247,0.5708770024575449,0.1695681365445393,0.1530691944577266,0.1064856665401892,0.2938689217758985,0.2579281183932346,0.4376321353065539,0.0105708245243128,0.3404831672398163,0.2067202147067485,0.3630137850058062,0.0897828330476288,4.1494831131065215,8.298966226213043,0.0,0.0,4.1494831131065215,4.1494831131065215,0.0,4.1494831131065215,0.0,4.1494831131065215,8.298966226213043,0.0,42.3566868,-71.1583016,974
250250002012,0.6956521739130435,0.0,0.0978260869565217,0.0434782608695652,0.6397211687736619,0.1295302562562496,0.1134014804768996,0.1173470944931889,0.2415254237288135,0.1610169491525423,0.4279661016949153,0.1694915254237288,0.3198439290234616,0.2059563471506984,0.3672883368496253,0.1069113869762146,0.0,0.0,0.0,0.0,0.0,10.253143486159106,0.0,10.253143486159106,0.0,0.0,0.0,0.0,42.3539575,-71.1609695,827
250250002013,0.8922305764411027,0.0275689223057644,0.0334168755221386,0.0467836257309941,0.6422456681234476,0.1244853814213479,0.1359803449036652,0.0972886055515392,0.2459677419354838,0.2681451612903225,0.3286290322580645,0.157258064516129,0.320400859274676,0.2022091789897402,0.3684479226781846,0.108942039057399,28.52236285577753,11.408945142311012,0.0,0.0,11.408945142311012,11.408945142311012,0.0,5.704472571155506,0.0,5.704472571155506,0.0,0.0,42.3521339,-71.1649809,2212
250250002014,0.569620253164557,0.1424050632911392,0.0559071729957805,0.1592827004219409,0.6349432807651513,0.1298223775187108,0.1299970059660561,0.1052373357500818,0.281767955801105,0.3397790055248619,0.2845303867403315,0.0939226519337016,0.3140580010586536,0.1992067033582404,0.3914765800392883,0.0952587155438176,35.12844322102437,0.0,0.0,0.0,11.709481073674793,0.0,0.0,0.0,11.709481073674793,0.0,0.0,0.0,42.3507536,-71.1616549,809
250250002021,0.7929292929292929,0.0303030303030303,0.0375982042648709,0.1307519640852974,0.5871219958139869,0.1473755649212726,0.162814515859989,0.1026879234047513,0.1547826086956521,0.3043478260869565,0.3860869565217391,0.1547826086956521,0.3644200049405847,0.1992984882695847,0.3346971911291115,0.101584315660719,17.68731523386826,3.5374630467736528,10.612389140320955,3.5374630467736528,7.0749260935473055,7.0749260935473055,7.0749260935473055,3.5374630467736528,3.5374630467736528,0.0,0.0,0.0,42.3525801,-71.1521358,1850
250250002022,0.6914414414414415,0.0337837837837837,0.2274774774774774,0.0394144144144144,0.6596449686485409,0.0724468712817564,0.1353506887627217,0.1325574713069808,0.344927536231884,0.1971014492753623,0.2492753623188406,0.208695652173913,0.3250441264360292,0.2000415014330685,0.356133528111912,0.1187808440189902,7.617014803422203,15.234029606844404,0.0,15.234029606844404,0.0,7.617014803422203,0.0,0.0,0.0,0.0,0.0,0.0,42.3504745,-71.1579205,1148
250250002023,0.6019629225736096,0.0,0.1559432933478735,0.2420937840785169,0.6454992890535951,0.0903518387386225,0.1282783135235679,0.1358705586842144,0.2553846153846154,0.1846153846153846,0.3569230769230769,0.203076923076923,0.2944428041782108,0.1938270522859744,0.4091560477742799,0.1025740957615347,0.0,0.0,0.0,0.0,0.0,0.0,8.127472667054152,8.127472667054152,0.0,0.0,0.0,0.0,42.3530967,-71.156904,543
250250003011,0.48046875,0.1575520833333333,0.0455729166666666,0.3020833333333333,0.551715307920674,0.1817046237432597,0.1524558980298012,0.1141241703062649,0.1566265060240964,0.0923694779116465,0.6024096385542169,0.1485943775100401,0.3879175569463515,0.1797455113835175,0.3290457273234649,0.1032912043466659,0.0,0.0,0.0,0.0,0.0,4.505391547727951,0.0,0.0,0.0,4.505391547727951,0.0,0.0,42.3562597,-71.1659934,606
250250003012,0.8976279650436954,0.0474406991260923,0.0324594257178526,0.0224719101123595,0.4480957325435769,0.2797434089331652,0.1928047153010981,0.0793561432221598,0.2088607594936709,0.189873417721519,0.5063291139240507,0.0949367088607595,0.4064640440212989,0.2096513235906131,0.3033537175145954,0.0805309148734927,0.0,0.0,0.0,14.023859803918368,0.0,7.011929901959184,7.011929901959184,0.0,0.0,0.0,0.0,0.0,42.3545938,-71.1697815,355
250250003013,0.6568877551020408,0.1415816326530612,0.1045918367346938,0.0471938775510204,0.6361516901316976,0.1259311514247366,0.1367301637768873,0.1011869946666785,0.0830324909747292,0.0685920577617328,0.6967509025270758,0.151624548736462,0.2891069564270865,0.181535787186437,0.4186418559318147,0.1107154004546617,37.333687340758274,0.0,0.0,12.444562446919424,0.0,12.444562446919424,0.0,0.0,0.0,12.444562446919424,0.0,0.0,42.3523733,-71.1701145,1104
