GEOID,white,black,asian,hispanic,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports
250251402021,0.17822651448639157,0.4424934152765584,0.1826163301141352,0.19666374012291485,0.25731894227908525,0.4310249590694087,0.2595746529342466,0.05208144571725941,0.2845528455284553,0.25745257452574527,0.3875338753387534,0.07046070460704607,0.4402803647821791,0.20570683031499892,0.27009239882811314,0.08392040607470883,0.0,8.398040148977167,0.0,0.0,8.398040148977167,0.0,4.199020074488583,0.0,0.0,0.0,0.0,0.0
250251402022,0.10116279069767442,0.44302325581395346,0.0,0.42151162790697677,0.2645844763209284,0.4223452289246229,0.2774372590450442,0.03563303570940441,0.5463258785942492,0.12939297124600638,0.24121405750798722,0.08306709265175719,0.47641228722048296,0.1997028081061159,0.2405405109924044,0.08334439368099673,0.0,0.0,0.0,0.0,7.537062110947966,3.768531055473983,0.0,0.0,3.768531055473983,0.0,0.0,0.0
250251402023,0.44976076555023925,0.13875598086124402,0.04101161995898838,0.19480519480519481,0.28679926283915125,0.4247389261837787,0.24464552650103644,0.043816284476033716,0.33407572383073497,0.2561247216035635,0.19821826280623608,0.21158129175946547,0.43008896833735855,0.2164539570189725,0.26307424925576034,0.09038282538790869,0.0,0.0,0.0,0.0,0.0,2.83409923157839,0.0,0.0,2.83409923157839,2.83409923157839,0.0,0.0
250251402024,0.3186420488385944,0.2864800476474092,0.005955926146515783,0.37403216200119116,0.2645212515073965,0.44099085254142156,0.2583438597938608,0.03614403615732121,0.3440134907251265,0.21416526138279932,0.3777403035413153,0.06408094435075885,0.4534881235666503,0.2090121005659741,0.25334700329869675,0.08415277256867888,9.71623519441548,2.42905879860387,0.0,0.0,2.42905879860387,4.85811759720774,4.85811759720774,0.0,0.0,0.0,0.0,0.0
250251402025,0.6265750286368843,0.2646048109965636,0.024054982817869417,0.043528064146620846,0.24349654182675773,0.42334684226768626,0.2518530609790443,0.08130355492651173,0.12280701754385964,0.22105263157894736,0.45614035087719296,0.2,0.510955817535451,0.18522373853050794,0.23270920553580243,0.07111123839823856,0.0,0.0,0.0,0.0,3.4759891227561144,0.0,0.0,0.0,3.4759891227561144,0.0,0.0,0.0
250251403001,0.06973848069738481,0.5541718555417185,0.0,0.37608966376089664,0.19165947620810686,0.5034112822626636,0.2734732314686103,0.03145601006061927,0.7993079584775087,0.08996539792387544,0.11072664359861592,0.0,0.5002158550626943,0.20984289064084408,0.22614251574795458,0.06379873854850716,9.313691133257171,13.970536699885756,0.0,9.313691133257171,4.6568455666285855,18.627382266514342,4.6568455666285855,0.0,0.0,4.6568455666285855,0.0,0.0
250251403002,0.18604651162790697,0.2124031007751938,0.0,0.6015503875968993,0.210431012792372,0.4804203843188692,0.2793599733780532,0.029788629510705763,0.4218009478672986,0.42417061611374407,0.15402843601895735,0.0,0.4798990789672669,0.21353654796329885,0.2362179510995907,0.07034642196984353,28.61063099873534,12.261698999458002,4.087232999819334,28.61063099873534,20.43616499909667,36.78509699837401,4.087232999819334,8.174465999638668,12.261698999458002,4.087232999819334,0.0,0.0
250251403003,0.13549883990719258,0.671461716937355,0.0,0.18700696055684454,0.21676009884814412,0.48111354785123756,0.2722475778975408,0.029878775403077484,0.5528255528255528,0.17567567567567569,0.12776412776412777,0.14373464373464373,0.4841576849807612,0.2086349486678649,0.23479747425757888,0.07240989209379499,19.108423551625396,14.331317663719048,2.3885529439531745,7.165658831859524,7.165658831859524,16.719870607672224,7.165658831859524,4.777105887906349,9.554211775812698,4.777105887906349,2.3885529439531745,0.0
250251403004,0.18008948545861297,0.6431767337807607,0.0,0.1767337807606264,0.20351713643635788,0.5098070656758744,0.2521672248126438,0.03450857307512385,0.11398963730569948,0.24352331606217617,0.6424870466321243,0.0,0.4754217953646892,0.2098530277485121,0.2604352047940473,0.05428997209275135,5.536904443848538,0.0,0.0,0.0,5.536904443848538,0.0,0.0,0.0,5.536904443848538,0.0,0.0,0.0
250251403005,0.15701970443349753,0.5695812807881774,0.02647783251231527,0.2315270935960591,0.14434882807189028,0.5648038508168055,0.2621738119527223,0.028673509158581766,0.44597249508840864,0.25736738703339884,0.2966601178781925,0.0,0.5267652376253141,0.21365313030500221,0.20855686603861834,0.05102476603106516,3.9975524707853887,3.9975524707853887,0.0,3.9975524707853887,15.990209883141555,15.990209883141555,3.9975524707853887,3.9975524707853887,7.995104941570777,0.0,0.0,0.0
250251403006,0.133130081300813,0.5711382113821138,0.0,0.29471544715447157,0.16650987781584264,0.5522099374372673,0.25615139871571646,0.02512878603117368,0.4012539184952978,0.44200626959247646,0.15673981191222572,0.0,0.5063143083957115,0.21916741851192506,0.2181686435107395,0.05634962958162398,0.0,0.0,0.0,0.0,3.60818455716197,7.21636911432394,3.60818455716197,0.0,0.0,0.0,0.0,0.0
250251404001,0.03129890453834116,0.5555555555555556,0.0,0.37245696400625977,0.12079972070857767,0.5996695328441942,0.2554060830127389,0.024124663434489275,0.7473404255319149,0.14627659574468085,0.10638297872340426,0.0,0.5432274768120049,0.20406698624176997,0.2089288240401583,0.043776712906066786,26.857140864461194,0.0,13.428570432230597,0.0,0.0,13.428570432230597,0.0,13.428570432230597,0.0,0.0,0.0,0.0
250251404002,0.026115342763873776,0.9107725788900979,0.0,0.030467899891186073,0.13107585610214792,0.633896314413991,0.21427504014116686,0.020752789342694294,0.25477707006369427,0.4267515923566879,0.14012738853503184,0.17834394904458598,0.49653483790168185,0.2287705827856123,0.21179945610443443,0.0628951232082714,0.0,0.0,0.0,0.0,15.70492729971066,5.23497576657022,0.0,0.0,5.23497576657022,0.0,0.0,0.0
250251404003,0.0,0.778496362166532,0.0,0.22150363783346808,0.13823594117744828,0.5757276517983974,0.2497493148138917,0.03628709221026272,0.3548387096774194,0.18181818181818182,0.436950146627566,0.026392961876832845,0.5200931282441045,0.2136436850967085,0.2201588924746436,0.046104294184543496,0.0,0.0,0.0,0.0,0.0,3.98391209014292,0.0,0.0,0.0,0.0,0.0,0.0
